['3-й круг', 'DD Tengyue', '3:5 пен.', 'Циндао', '53.14', '27.59', '19.26', '2023-06-23']
['3-й круг', 'JX Lushan', '1:5', 'Ухань Три Таунс', '21.48', '24.33', '54.19', '2023-06-23']
['3-й круг', 'QD West Coast', '2:1', 'Цанчжоу', '80.98', '11.38', '7.63', '2023-06-23']
['12. тур', 'Khanh Hoa FC', '13:00', 'Ханой', '28.31', '17.74', '53.95', '2023-06-23']
['12. тур', 'CAHN FC', '4:2', 'Хатинь', '41.99', '24.41', '33.60', '2023-06-23']
['13. тур', 'Нефтчи', '1:2', 'Алай', '42.27', '30.77', '26.96', '2023-06-23']
['13. тур', 'Абдыш-Ата', '4:0', 'Алга', '38.88', '32.13', '28.99', '2023-06-23']
['13. тур', 'Кара-Балта', '0:2', 'Дордой', '4.25', '11.80', '83.95', '2023-06-23']
['12. тур', 'KÍ III', '0:4', 'NSÍ II', '6.75', '9.65', '83.60', '2023-06-23']
['Раунд на выбывание', 'Верес Ровно', '6:1', 'МФК Металлург', '24.70', '33.81', '41.48', '2023-06-14']
['Раунд на выбывание', 'ЛНЗ Черкассы', '2:1', 'Ингулец', '35.10', '35.93', '28.98', '2023-06-14']
['20. тур', 'Колон', '1:0', 'Эстудиантес', '26.09', '27.32', '46.58', '2023-06-14']
['20. тур', 'Дефенса', '0:00', 'Бельграно', '40.76', '22.06', '37.17', '2023-06-14']
['20. тур', 'Дефенса', '2:0', 'Бельграно', '40.76', '22.06', '37.17', '2023-06-14']
['20. тур', 'Атл. Тукуман', '2:1', 'Годой Крус', '18.61', '26.94', '54.45', '2023-06-14']
['20. тур', 'Химнасия', '1:0', 'Уракан', '24.02', '28.08', '47.90', '2023-06-14']
['Первый круг', 'Альдосиви', '0:1', 'San Martín', '26.99', '26.52', '46.49', '2023-06-14']
['10. тур', 'Патронато', '0:1', 'Almirante Brown', '34.98', '29.85', '35.18', '2023-06-14']
['2-й круг', 'Виссел Кобе', '3:1', 'Нагано Парсейро', '55.58', '23.01', '21.41', '2023-06-14']
['27. тур', 'Магреб Тетуан', '1:2', 'ЖС Суалем', '23.56', '30.65', '45.78', '2023-06-14']
['27. тур', 'Раджа', '2:1', 'Беркан', '45.79', '27.87', '26.34', '2023-06-14']
['27. тур', 'Шабаб', '3:0', 'МАС', '25.74', '26.28', '47.98', '2023-06-14']
['27. тур', 'Сафи', '0:1', 'ФЮС', '18.60', '25.30', '56.10', '2023-06-14']
['27. тур', 'Дифаа', '0:1', 'Мулудия', '36.37', '32.48', '31.15', '2023-06-14']
['27. тур', 'ФАР', '1:0', 'Хурибга', '78.74', '12.74', '8.52', '2023-06-14']
['27. тур', 'Юнион Турага', '2:2', 'Иттихад', '31.57', '27.83', '40.60', '2023-06-14']
['27. тур', 'Хассания', '0:0', 'Видад', '10.09', '19.98', '69.93', '2023-06-14']
['33. тур', 'Slovacko B', '1:3', 'FC Hlucin', '18.24', '12.20', '69.56', '2023-06-14']
['групповой этап', 'Sergipe', '2:3', 'Atl. Alagoinhas', '51.44', '26.30', '22.26', '2023-06-15']
['11. тур', 'ТПС', '1:1', 'Mikkelin', '9.52', '26.94', '63.54', '2023-06-15']
['10. тур', 'Dep. Coopsol', '1:0', 'Unión Huaral', '18.54', '13.73', '67.73', '2023-06-15']
['10. тур', 'Лос-Анджелес', 'перенесено', 'Хьюстон', '70.03', '16.43', '13.54', '2023-06-15']
['13. тур', 'Нью-Инглэнд II', '1:0', 'NYCFC II', '29.40', '22.20', '48.40', '2023-06-15']
['7. тур', 'Гроутта', '2:1', 'Aegir', '61.42', '16.90', '21.67', '2023-06-15']
['7. тур', 'Гриндавик', '0:1', 'Фьолнир', '19.21', '18.22', '62.56', '2023-06-15']
['15. тур', 'Хартфорд', '1:3', 'Детройт', '24.54', '30.46', '45.00', '2023-06-15']
['15. тур', 'Эль-Пасо', '2:1', 'Лас-Вегас', '72.86', '12.19', '14.95', '2023-06-15']
['15. тур', 'Сан-Диего', '2:2', 'Сан-Антонио', '45.70', '27.16', '27.14', '2023-06-15']
['16. тур', 'AC Barnechea', '1:1', 'S. Morning', '31.78', '27.80', '40.42', '2023-06-15']
['Финал', 'Bucaspor 1928', '0:3', 'Sanliurfaspor', '23.98', '21.61', '54.41', '2023-06-15']
['10. тур', 'Илбирс', '1:1', 'Кара-Балта', '7.76', '14.76', '77.48', '2023-06-15']
['13. тур', 'Motala AIF', '1:2', 'Örebro Syr.', '25.41', '25.43', '49.17', '2023-06-15']
['2. тур', 'Carlos Stein', '0:2', 'Los Chankas', '2.74', '5.50', '91.76', '2023-06-16']
['13. тур', 'Chicago II', '1:0', 'Орландо Сити Б', '10.35', '14.02', '75.63', '2023-06-16']
['13. тур', 'Columbus 2', '8:7 пен.', 'Атланта 2', '38.28', '22.87', '38.84', '2023-06-16']
['13. тур', 'Houston 2', '1:2', 'Портленд 2', '75.85', '14.34', '9.80', '2023-06-16']
['13. тур', 'Канзас-Сити II', '7:6 пен.', 'Такома', '14.44', '19.48', '66.07', '2023-06-16']
['13. тур', 'Vancouver 2', '1:0', 'Реал Монаркс', '63.78', '17.98', '18.25', '2023-06-16']
['12. тур', 'Сан-Диего', '0:0', 'Мэриленд', '18.42', '27.67', '53.91', '2023-06-16']
['7. тур', 'Thór', '2:1', 'Selfoss', '47.22', '23.41', '29.37', '2023-06-16']
['7. тур', 'Afturelding', '7:2', 'Njardvík', '67.05', '11.08', '21.87', '2023-06-16']
['7. тур', 'Акранес', '6:3', 'Thróttur', '41.20', '28.98', '29.82', '2023-06-16']
['8. тур', 'ÍR', '1:2', 'Haukar', '50.99', '25.90', '23.11', '2023-06-16']
['8. тур', 'Dalvík/Reynir', '5:1', 'KV Vesturbaejar', '36.08', '28.49', '35.43', '2023-06-16']
['15. тур', 'Busan Trans. C.', '0:1', 'Gangneung Cit.', '42.94', '23.70', '33.36', '2023-06-16']
['33. тур', '1.SC Znojmo', '0:8', 'Ostrava B', '15.65', '27.64', '56.71', '2023-06-16']
['33. тур', 'Velke Mezirici', '1:3', 'Frydek-Mistek', '15.89', '26.73', '57.38', '2023-06-16']
['13. тур', 'Umeå FC', '1:0', 'Piteå IF', '27.16', '24.17', '48.67', '2023-06-16']
['групповой этап', 'Черногория', '0:0', 'Венгрия', '26.88', '33.26', '39.86', '2023-06-17']
['30. тур', 'Apollon Pontou', '1:0', 'Anag. Karditsas', '23.14', '20.25', '56.61', '2023-06-17']
['30. тур', 'Ираклис', '5:1', 'Thesprotos', '76.47', '14.53', '9.00', '2023-06-17']
['30. тур', 'Panserraikos', '3:0', 'Ap. Larisas', '84.69', '8.88', '6.43', '2023-06-17']
['30. тур', 'Панатинаикос B', '0:2', 'Niki Volou', '24.43', '22.08', '53.49', '2023-06-17']
['30. тур', 'Makedonikos', '3:1', 'ПАОК B', '11.68', '12.90', '75.42', '2023-06-17']
['30. тур', 'Veria NPS', '3:0', 'Iraklis Larisas', '28.33', '26.55', '45.12', '2023-06-17']
['30. тур', 'AE Лариса', '5:0', 'Diagoras', '63.84', '17.26', '18.90', '2023-06-17']
['8. тур', 'Pargas IF', '1:1', 'Ilves II', '13.44', '20.80', '65.75', '2023-06-17']
['11. тур', 'JJK Jyväskylä', '3:1', 'ФФ Яро', '23.44', '29.31', '47.25', '2023-06-17']
['11. тур', 'Ekenäs IF', '2:2', 'Кокколан ПВ', '68.30', '12.29', '19.41', '2023-06-17']
['11. тур', 'SJK II', '2:2', 'ХИФК', '23.19', '24.07', '52.74', '2023-06-17']
['11. тур', 'SalPa', '1:3', 'IF Gnistan', '19.20', '22.79', '58.02', '2023-06-17']
['11. тур', 'Käpylän Pallo', '3:1', 'JäPS', '17.22', '25.30', '57.47', '2023-06-17']
['7. тур', 'PK-35', '1:0', 'Atlantis FC II', '34.55', '23.01', '42.44', '2023-06-17']
['21. тур', 'Естудиантес РЦ', '1:0', 'Темперлей', '30.02', '20.63', '49.35', '2023-06-17']
['18. тур', 'Tristan Suarez', '0:0', 'Rafaela', '17.09', '23.88', '59.03', '2023-06-17']
['18. тур', 'Chacarita Jrs', '0:0', 'Deportivo Madry', '36.22', '23.28', '40.50', '2023-06-17']
['18. тур', 'Ind. Rivadavia', '2:1', 'Альдосиви', '64.93', '17.66', '17.41', '2023-06-17']
['16. тур', 'Santamarina', '0:0', 'Sol de Mayo', '43.13', '25.75', '31.12', '2023-06-17']
['16. тур', 'Линиерс', '2:0', 'Circulo Depor.', '33.27', '28.97', '37.76', '2023-06-17']
['16. тур', 'Crucero', '1:2', 'Central Norte', '44.50', '30.07', '25.43', '2023-06-17']
['16. тур', 'CA Huracán LH', '0:2', 'Club Ciudad Bol', '35.31', '29.81', '34.89', '2023-06-17']
['14. тур', 'Унион', '1:1', 'Ланус', '11.38', '21.07', '67.55', '2023-06-17']
['19. тур', 'Нью-Йорк Сити', '1:1', 'Коламбус', '18.44', '26.67', '54.89', '2023-06-17']
['13. тур', 'Норт Тексас', '0:1', 'San Jose II', '26.62', '25.20', '48.18', '2023-06-17']
['21. тур', 'Фудзиэда МИФК', '0:4', 'Роассо Кумамото', '26.30', '25.41', '48.29', '2023-06-17']
['21. тур', 'Цвай. Канадзава', '2:1', 'Мито Холлихок', '26.67', '26.45', '46.87', '2023-06-17']
['21. тур', 'Токусима Ворт.', '1:1', 'Монте. Ямагата', '31.47', '27.74', '40.80', '2023-06-17']
['21. тур', 'В-В. Нагасаки', '2:0', 'Омия Ардия', '72.75', '14.23', '13.01', '2023-06-17']
['21. тур', 'Оита Тринита', '1:0', 'Фаджиано Окаяма', '36.45', '22.17', '41.37', '2023-06-17']
['14. тур', 'Тег. Миядзаки', '1:1', 'ФК Имабари', '34.69', '30.51', '34.79', '2023-06-17']
['14. тур', 'Эхимэ фк', '1:0', 'Нара Клуб', '49.04', '28.48', '22.47', '2023-06-17']
['14. тур', 'Ивате Грулла М.', '1:2', 'Каталлер Тояма', '15.37', '24.46', '60.17', '2023-06-17']
['14. тур', 'Мацумото Ямага', '2:0', 'Каматам. Сануки', '35.21', '25.95', '38.84', '2023-06-17']
['14. тур', 'Гайнаре Тоттори', '0:1', 'Гир. Китакюсю', '60.62', '23.80', '15.58', '2023-06-17']
['8. тур', 'Reysol U18', '2:0', 'Omiya U18', '43.82', '27.51', '28.67', '2023-06-17']
['8. тур', 'KFG Gardabaer', '0:0', 'KFA', '44.89', '31.21', '23.90', '2023-06-17']
['8. тур', 'Víkingur Ó.', '7:1', 'Sindri', '68.77', '16.34', '14.89', '2023-06-17']
['8. тур', 'Höttur/Huginn', '3:1', 'Thróttur Vogum', '11.11', '17.17', '71.72', '2023-06-17']
['20. тур', 'Bulls FC Ac.', '1:1', 'Sydney FC II', '8.30', '18.57', '73.13', '2023-06-17']
['12. тур', 'Эсперанс', '1:0', 'Сфаксьен', '68.25', '17.74', '14.01', '2023-06-17']
['28. тур', 'Беркан', '2:1', 'Юнион Турага', '43.48', '26.31', '30.21', '2023-06-17']
['28. тур', 'ЖС Суалем', '1:3', 'Хассания', '31.99', '26.96', '41.05', '2023-06-17']
['28. тур', 'ФЮС', '2:1', 'Шабаб', '57.28', '24.14', '18.59', '2023-06-17']
['28. тур', 'Иттихад', '1:0', 'Дифаа', '35.12', '23.26', '41.61', '2023-06-17']
['28. тур', 'МАС', '0:1', 'ФАР', '28.03', '23.62', '48.35', '2023-06-17']
['28. тур', 'Мулудия', '0:0', 'Раджа', '29.20', '27.73', '43.07', '2023-06-17']
['28. тур', 'Хурибга', '3:0', 'Магреб Тетуан', '29.32', '27.76', '42.91', '2023-06-17']
['28. тур', 'Видад', '3:1', 'Сафи', '31.40', '24.43', '44.17', '2023-06-17']
['16. тур', 'Jinju Citizen', '3:2', 'Geoje Citizen', '14.88', '19.99', '65.13', '2023-06-17']
['15. тур', 'Daejeon KoRail', '2:2', 'Gimhae FC', '36.19', '30.39', '33.42', '2023-06-17']
['2. тур', 'Серро Ларго', '1:3', 'Ливерпуль', '8.89', '9.11', '82.01', '2023-06-17']
['2. тур', 'Бостон Ривер', '4:0', 'La Luz', '24.74', '12.63', '62.62', '2023-06-17']
['12. тур', 'Lao Army FC', '0:0', 'Янг Элефантс', '34.22', '26.21', '39.58', '2023-06-17']
['12. тур', 'ФК Вьенгчанх', '1:14', 'ФК Мастер 7', '11.51', '11.84', '76.65', '2023-06-17']
['33. тур', 'HS Kromeriz', '1:1', 'СК Уничов', '31.94', '25.36', '42.70', '2023-06-17']
['10. тур', 'SC Jiuniu', '1:1', 'GX PG Haliao', '45.74', '34.20', '20.06', '2023-06-17']
['10. тур', 'Нанкин', '1:0', 'DD Tengyue', '46.29', '27.26', '26.46', '2023-06-17']
['10. тур', 'DG Guanlian', '0:0', 'SZ Dongwu', '29.49', '27.68', '42.84', '2023-06-17']
['10. тур', 'Fløy', '0:0', 'Vard', '9.47', '18.52', '72.01', '2023-06-17']
['34. тур', 'Blekitni', '0:0', 'Unia Swarzedz', '24.26', '26.98', '48.77', '2023-06-17']
['34. тур', 'Pogoń Nowe S.', '2:0', 'Baltyk Gdynia', '51.17', '27.40', '21.42', '2023-06-17']
['34. тур', 'Jarota Jarocin', '2:1', 'KP Starogard', '15.13', '16.19', '68.68', '2023-06-17']
['34. тур', 'Легия II', '5:0', 'Jagiellonia II', '43.56', '30.50', '25.94', '2023-06-17']
['34. тур', 'P. Bialobrzegi', '2:2', 'Unia Skierniewice', '40.54', '30.45', '29.01', '2023-06-17']
['34. тур', 'Полония Бытом', '1:4', 'Goczalkowice', '57.30', '20.06', '22.64', '2023-06-17']
